sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),petal area,target
6.1,2.8,4.0,1.3,5.2,versicolor
6.3,2.5,4.9,1.5,7.3500000000000005,versicolor
6.1,2.8,4.7,1.2,5.64,versicolor
6.4,2.9,4.3,1.3,5.59,versicolor
6.6,3.0,4.4,1.4,6.16,versicolor
6.8,2.8,4.8,1.4,6.72,versicolor
6.7,3.0,5.0,1.7,8.5,versicolor
6.0,2.9,4.5,1.5,6.75,versicolor
5.7,2.6,3.5,1.0,3.5,versicolor
5.5,2.4,3.8,1.1,4.18,versicolor
5.5,2.4,3.7,1.0,3.7,versicolor
5.8,2.7,3.9,1.2,4.68,versicolor
6.0,2.7,5.1,1.6,8.16,versicolor
5.4,3.0,4.5,1.5,6.75,versicolor
6.0,3.4,4.5,1.6,7.2,versicolor
6.7,3.1,4.7,1.5,7.050000000000001,versicolor
6.3,2.3,4.4,1.3,5.720000000000001,versicolor
5.6,3.0,4.1,1.3,5.33,versicolor
5.5,2.5,4.0,1.3,5.2,versicolor
5.5,2.6,4.4,1.2,5.28,versicolor
6.1,3.0,4.6,1.4,6.4399999999999995,versicolor
5.8,2.6,4.0,1.2,4.8,versicolor
5.0,2.3,3.3,1.0,3.3,versicolor
5.6,2.7,4.2,1.3,5.460000000000001,versicolor
5.7,3.0,4.2,1.2,5.04,versicolor
5.7,2.9,4.2,1.3,5.460000000000001,versicolor
6.2,2.9,4.3,1.3,5.59,versicolor
5.1,2.5,3.0,1.1,3.3000000000000003,versicolor
5.7,2.8,4.1,1.3,5.33,versicolor
6.3,3.3,6.0,2.5,15.0,virginica
5.8,2.7,5.1,1.9,9.69,virginica
7.1,3.0,5.9,2.1,12.39,virginica
6.3,2.9,5.6,1.8,10.08,virginica
6.5,3.0,5.8,2.2,12.76,virginica
7.6,3.0,6.6,2.1,13.86,virginica
4.9,2.5,4.5,1.7,7.6499999999999995,virginica
7.3,2.9,6.3,1.8,11.34,virginica
6.7,2.5,5.8,1.8,10.44,virginica
7.2,3.6,6.1,2.5,15.25,virginica
6.5,3.2,5.1,2.0,10.2,virginica
6.4,2.7,5.3,1.9,10.069999999999999,virginica
6.8,3.0,5.5,2.1,11.55,virginica
5.7,2.5,5.0,2.0,10.0,virginica
5.8,2.8,5.1,2.4,12.239999999999998,virginica
6.4,3.2,5.3,2.3,12.19,virginica
6.5,3.0,5.5,1.8,9.9,virginica
7.7,3.8,6.7,2.2,14.740000000000002,virginica
7.7,2.6,6.9,2.3,15.87,virginica
6.0,2.2,5.0,1.5,7.5,virginica
6.9,3.2,5.7,2.3,13.11,virginica
5.6,2.8,4.9,2.0,9.8,virginica
7.7,2.8,6.7,2.0,13.4,virginica
6.3,2.7,4.9,1.8,8.82,virginica
6.7,3.3,5.7,2.1,11.97,virginica
7.2,3.2,6.0,1.8,10.8,virginica
6.2,2.8,4.8,1.8,8.64,virginica
6.1,3.0,4.9,1.8,8.82,virginica
6.4,2.8,5.6,2.1,11.76,virginica
7.2,3.0,5.8,1.6,9.28,virginica
7.4,2.8,6.1,1.9,11.589999999999998,virginica
7.9,3.8,6.4,2.0,12.8,virginica
6.4,2.8,5.6,2.2,12.32,virginica
6.3,2.8,5.1,1.5,7.6499999999999995,virginica
6.1,2.6,5.6,1.4,7.839999999999999,virginica
7.7,3.0,6.1,2.3,14.029999999999998,virginica
6.3,3.4,5.6,2.4,13.44,virginica
6.4,3.1,5.5,1.8,9.9,virginica
6.0,3.0,4.8,1.8,8.64,virginica
6.9,3.1,5.4,2.1,11.340000000000002,virginica
6.7,3.1,5.6,2.4,13.44,virginica
6.9,3.1,5.1,2.3,11.729999999999999,virginica
5.8,2.7,5.1,1.9,9.69,virginica
6.8,3.2,5.9,2.3,13.57,virginica
6.7,3.3,5.7,2.5,14.25,virginica
6.7,3.0,5.2,2.3,11.959999999999999,virginica
6.3,2.5,5.0,1.9,9.5,virginica
6.5,3.0,5.2,2.0,10.4,virginica
6.2,3.4,5.4,2.3,12.42,virginica
5.9,3.0,5.1,1.8,9.18,virginica
